Throughput,Airtime,Interference,RSSI,Performance_Score
261.42,33.837,-61.108,-62.608,212.405543695703
132.48,58.604,-62.838,-67.285,103.34497144203401
183.54,55.987,-62.138,-61.455,146.88349287064142
216.96,27.664,-61.692,-65.52,174.53610444586366
234.78,37.89,-63.294,-64.495,189.65797971082304
142.05,43.497,-62.622,-67.168,111.26921180247625
222.75,35.204,-63.944,-61.738,179.59420480184934
275.52,47.174,-62.861,-64.908,224.1924083300772
284.16,46.648,-63.151,-68.065,231.25437978814332
219.63,63.327,-60.953,-60.202,177.63387679911727
268.8,58.928,-61.667,-64.06,218.80718709344148
70.89,62.948,-61.669,-63.288,51.72355448517949
207.36,36.931,-63.056,-64.378,166.50947007256883
219.87,25.328,-60.893,-60.972,177.32687601235577
217.32,39.505,-62.116,-67.492,174.8221552154526
288.0,54.491,-62.518,-65.755,234.79484180045907
121.62,69.478,-60.814,-61.612,94.8334685814958
187.02,55.55,-62.001,-64.95,149.59839845757026
175.47,36.687,-62.702,-64.21,139.60599386236564
307.2,69.643,-62.632,-66.752,251.12439755850826
209.28,79.652,-62.446,-65.442,168.6297634885958
216.54,40.366,-61.976,-66.598,174.24341935809554
300.36,25.172,-60.48,-61.302,245.3286169191595
286.8,55.998,-61.118,-61.14,234.21143426733147
246.51,48.352,-63.341,-66.64,199.5496740762944
195.45,40.908,-62.178,-60.213,156.83905706808807
270.72,52.088,-62.068,-60.548,220.54583237382778
43.38,54.552,-63.03,-64.09,28.224284708508513
188.52,53.006,-62.155,-62.592,150.9777893956838
72.63,35.177,-60.786,-63.915,52.88145184378756
212.49,42.11,-61.627,-63.852,171.0511903442861
126.72,52.788,-61.461,-60.618,98.95346285445007
238.74,61.45,-61.353,-64.188,193.46077268020352
245.58,53.348,-62.311,-65.282,198.99396104824712
125.31,54.944,-63.139,-64.985,97.37164042541121
182.4,48.719,-61.422,-64.867,145.66250258068325
234.66,37.588,-62.208,-61.87,189.80958286402696
157.35,56.311,-61.481,-64.105,124.63990084466133
249.6,49.186,-63.241,-64.148,202.34186576631922
309.63,49.425,-62.415,-60.178,253.37989411530512
183.66,42.518,-62.586,-64.045,146.61542310648602
243.84,63.216,-60.388,-58.605,198.23253693492455
160.32,34.804,-62.036,-64.135,126.84151149329394
263.7,47.331,-62.902,-68.588,213.9640499981667
280.32,38.733,-60.322,-59.94,228.66727480323064
108.24,74.619,-61.733,-64.908,83.30559571744884
146.94,52.3,-60.434,-59.712,116.16718893249023
147.15,27.534,-62.808,-65.98,115.44645002386366
213.0,46.92,-63.228,-65.023,171.33998095232292
177.96,48.892,-61.551,-65.815,141.84158571115933
212.88,57.708,-63.2,-67.602,171.20265808811084
209.28,45.961,-61.613,-62.332,168.48768623661206
150.12,40.485,-62.567,-62.272,118.37606269879166
117.12,29.866,-60.222,-62.82,90.51495237759843
200.97,35.29,-60.954,-58.365,161.64966176442195
259.68,43.473,-61.9,-59.128,211.22117279481498
173.67,34.81,-63.12,-57.968,138.44113691269558
99.06,38.192,-60.527,-60.438,75.49370550059933
173.34,56.049,-60.075,-60.002,138.52282349227966
219.63,63.898,-60.858,-61.765,177.54529947361388
174.63,49.209,-60.554,-65.02,139.16178290737815
209.16,60.956,-62.581,-64.172,168.37342268745877
232.86,23.785,-60.386,-63.148,188.17719989233788
222.72,52.48,-63.114,-62.252,179.80994322938412
101.88,29.994,-60.05,-59.88,77.84941497589553
298.14,54.955,-61.419,-64.672,243.52237333469787
265.47,42.905,-64.441,-67.833,215.3360785736189
201.24,31.845,-59.794,-59.875,161.82589772757086
201.15,54.009,-61.981,-67.892,161.32372374273632
236.7,43.062,-60.774,-60.33,191.8117739803498
218.88,67.866,-62.131,-66.378,176.55820501268053
217.5,40.606,-63.15,-65.192,175.05918251148864
51.57,52.802,-62.477,-67.858,34.91607171633331
101.94,47.276,-59.881,-64.58,77.8146683207698
343.68,31.91,-60.582,-59.34,282.12643042712625
213.12,45.73,-63.032,-63.788,171.52325792677985
331.83,44.362,-63.155,-64.88,271.7047846456053
223.8,30.35,-63.903,-61.808,180.42051336424046
109.83,55.49,-60.988,-62.885,84.6060110341164
159.36,48.378,-62.355,-65.032,126.11251618472298
160.29,61.19,-62.208,-61.822,127.27711466516747
220.02,43.541,-60.978,-64.04,177.467324372467
229.05,46.956,-61.959,-64.91,185.0040090911898
195.84,43.451,-63.096,-64.498,156.8465889171543
212.16,30.006,-62.129,-61.905,170.71411233790207
181.02,39.733,-63.044,-65.002,144.25294954393877
194.7,66.331,-61.799,-61.565,156.45600419590775
172.44,58.35,-62.264,-66.848,137.17094964689701
118.86,53.676,-61.995,-64.6,92.02125930626278
209.25,64.688,-60.963,-63.91,168.63719336963862
136.86,35.2,-59.784,-58.745,107.55735098524289
199.68,38.91,-61.144,-65.01,160.15204556951988
251.52,47.56,-62.04,-61.325,204.2225054319269
288.54,48.859,-62.684,-62.392,235.3908220406862
328.32,96.578,-59.732,-60.428,269.9343093328154
309.12,56.094,-59.254,-58.42,253.3902945430392
171.63,29.615,-59.286,-59.408,136.85577861353133
193.92,33.148,-63.154,-64.138,155.11817279629494
186.78,43.903,-60.254,-58.895,149.78701585485192
163.2,77.346,-60.612,-64.655,129.86924802947667
